Seq #,Title,20 Char,Publisher,Prods,ISSN,E-ISSN,Country,Language,SCIE,SSCI,AHCI,WoS Category
11695J,COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,ELSEVIER SCI LTD,K  D  JS Q  T  CC ES,1359-8368,1879-1069,ENGLAND,English,,,,"Engineering, Multidisciplinary"
11695J,COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,ELSEVIER SCI LTD,K  D  JS Q  T  CC ES,1359-8368,1879-1069,ENGLAND,English,,,,"Materials Science, Composites"
06295J,COMPOSITES SCIENCE AND TECHNOLOGY,COMPOS SCI TECHNOL,ELSEVIER SCI LTD,K  D  JS Q  T  CC ES,0266-3538,1879-1050,ENGLAND,English,,,,"Materials Science, Composites"
29920J,COMPOSITIO MATHEMATICA,COMPOS MATH,CAMBRIDGE UNIV PRESS,K  D  JS Q  S  CC ES,0010-437X,1570-5846,NETHERLANDS,Multi-Language,,,,Mathematics
11777J,COMPOST SCIENCE & UTILIZATION,COMPOST SCI UTIL,TAYLOR & FRANCIS INC,D  JS Q  XC A  B1 BA BP CC ES,1065-657X,2326-2397,UNITED STATES,English,,,,Ecology
11777J,COMPOST SCIENCE & UTILIZATION,COMPOST SCI UTIL,TAYLOR & FRANCIS INC,D  JS Q  XC A  B1 BA BP CC ES,1065-657X,2326-2397,UNITED STATES,English,,,,Soil Science
D1552J,Comprehensive Physiology,COMPR PHYSIOL,JOHN WILEY & SONS INC,D  JS Q  XC B1 BP RR ES,2040-4603,2040-4603,UNITED STATES,English,,,,Physiology
29964J,COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,W B SAUNDERS CO-ELSEVIER INC,K  D  J  SS JS JZ Q  B  C  B1 BA BP CC ES,0010-440X,1532-8384,UNITED STATES,English,,1,,Psychiatry
29964J,COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,W B SAUNDERS CO-ELSEVIER INC,K  D  J  SS JS JZ Q  B  C  B1 BA BP CC ES,0010-440X,1532-8384,UNITED STATES,English,,,,Psychiatry
C1125J,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,WILEY-BLACKWELL,D  JS Q  XC A  R  CC ES,1541-4337,1541-4337,UNITED STATES,English,,0,,Food Science & Technology
D1815J,Comptabilite Controle Audit,COMPTAB CONTROL AUDI,ASSOC FRANCOPHONE COMPTABILITE-AFC,SS JZ Q  XC B  CC ES,1262-2788,,FRANCE,French,0,1,,"Business, Finance"
13788J,COMPTES RENDUS BIOLOGIES,CR BIOL,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  A  P  DF B1 B7 BA BP CC ES,1631-0691,1768-3238,FRANCE,French,1,0,,Biology
13789J,COMPTES RENDUS CHIMIE,CR CHIM,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  S  CR RD I  PR RC SR CH CC ES,1631-0748,1878-1543,FRANCE,Multi-Language,,,1,"Chemistry, Multidisciplinary"
C5721J,COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,CR ACAD BULG SCI,PUBL HOUSE BULGARIAN ACAD SCI,D  JS Q  XC B2 B7 BA BP WS ES,1310-1331,,BULGARIA,Multi-Language,,,0,Multidisciplinary Sciences
03441J,COMPTES RENDUS DES SEANCES DE L ACADEMIE DES INSCRIPTIONS & BELLES-LETTRES,CR ACAD INSCR BELLE,DIFFUSION DE BOCCARD,H  Q  Y  CC,0065-0536,,FRANCE,French,0,,1,Art
13805J,COMPTES RENDUS GEOSCIENCE,CR GEOSCI,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  S  B7 CC ES,1631-0713,1778-7025,FRANCE,English,1,,0,"Geosciences, Multidisciplinary"
13806J,COMPTES RENDUS MATHEMATIQUE,CR MATH,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  S  CC ES,1631-073X,1778-3569,FRANCE,French,,,,Mathematics
13782J,COMPTES RENDUS MECANIQUE,CR MECANIQUE,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  XC T  CC ES,1631-0721,1873-7234,FRANCE,French,,,,Mechanics
14090J,COMPTES RENDUS PALEVOL,CR PALEVOL,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  S  B1 B7 BA BP CC ES,1631-0683,1777-571X,FRANCE,French,,,,Paleontology
13790J,COMPTES RENDUS PHYSIQUE,CR PHYS,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  S  CC ES,1631-0705,1878-1535,FRANCE,Multi-Language,,,,Astronomy & Astrophysics
13790J,COMPTES RENDUS PHYSIQUE,CR PHYS,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,K  D  JS Q  S  CC ES,1631-0705,1878-1535,FRANCE,Multi-Language,,,,"Physics, Multidisciplinary"
11643J,COMPUTATIONAL & APPLIED MATHEMATICS,COMPUT APPL MATH,SPRINGER HEIDELBERG,D  JS Q  XC S  WS CC ES SC,0101-8205,1807-0302,BRAZIL,English,,,,"Mathematics, Applied"
C8437J,Computational and Mathematical Methods in Medicine,COMPUT MATH METHOD M,HINDAWI PUBLISHING CORPORATION,D  JS Q  XC ES,1748-670X,1748-6718,ENGLAND,English,,,,Mathematical & Computational Biology
C8481J,Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,SPRINGER,D  J  SS JS JZ Q  XC B  CC ES,1381-298X,1572-9346,UNITED STATES,English,,1,,"Mathematics, Interdisciplinary Applications"
C8481J,Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,SPRINGER,D  J  SS JS JZ Q  XC B  CC ES,1381-298X,1572-9346,UNITED STATES,English,,,,"Computer Science, Interdisciplinary Applications"
C8481J,Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,SPRINGER,D  J  SS JS JZ Q  XC B  CC ES,1381-298X,1572-9346,UNITED STATES,English,,,,"Social Sciences, Mathematical Methods"
D0514J,Computational and Theoretical Chemistry,COMPUT THEOR CHEM,ELSEVIER SCIENCE BV,K  D  JS Q  S  RD RC SR CC ES,2210-271X,1872-7999,NETHERLANDS,English,,0,,"Chemistry, Physical"
14059J,COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,ELSEVIER SCI LTD,K  D  JS Q  P  RD RC SR B2 BA BP CC ES,1476-9271,1476-928X,ENGLAND,English,,,,Biology
14059J,COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,ELSEVIER SCI LTD,K  D  JS Q  P  RD RC SR B2 BA BP CC ES,1476-9271,1476-928X,ENGLAND,English,,,,"Computer Science, Interdisciplinary Applications"
11387J,COMPUTATIONAL COMPLEXITY,COMPUT COMPLEX,SPRINGER BASEL AG,D  JS Q  XC T  CC ES,1016-3328,1420-8954,SWITZERLAND,English,,,,"Computer Science, Theory & Methods"
11387J,COMPUTATIONAL COMPLEXITY,COMPUT COMPLEX,SPRINGER BASEL AG,D  JS Q  XC T  CC ES,1016-3328,1420-8954,SWITZERLAND,English,,,,Mathematics
C8482J,Computational Economics,COMPUT ECON,SPRINGER,D  J  SS JS JZ Q  XC B  CC ES,0927-7099,1572-9974,NETHERLANDS,English,,1,,"Mathematics, Interdisciplinary Applications"
C8482J,Computational Economics,COMPUT ECON,SPRINGER,D  J  SS JS JZ Q  XC B  CC ES,0927-7099,1572-9974,NETHERLANDS,English,,,,Economics
C8482J,Computational Economics,COMPUT ECON,SPRINGER,D  J  SS JS JZ Q  XC B  CC ES,0927-7099,1572-9974,NETHERLANDS,English,,,,Management
10524J,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,COMP GEOM-THEOR APPL,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0925-7721,1879-081X,NETHERLANDS,English,,0,,"Mathematics, Applied"
10524J,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,COMP GEOM-THEOR APPL,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0925-7721,1879-081X,NETHERLANDS,English,,,,Mathematics
13191J,COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,SPRINGER,D  JS Q  XC S  CC ES,1420-0597,1573-1499,NETHERLANDS,English,,,,"Geosciences, Multidisciplinary"
13191J,COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,SPRINGER,D  JS Q  XC S  CC ES,1420-0597,1573-1499,NETHERLANDS,English,,,,"Computer Science, Interdisciplinary Applications"
11619J,COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,WILEY-BLACKWELL,D  JS Q  XC T  CC ES,0824-7935,1467-8640,UNITED STATES,English,,,,"Computer Science, Artificial Intelligence"
D2506J,Computational Intelligence and Neuroscience,COMPUT INTEL NEUROSC,HINDAWI PUBLISHING CORPORATION,D  JS Q  XC ES,1687-5265,1687-5273,UNITED STATES,English,,,,Neurosciences
D2506J,Computational Intelligence and Neuroscience,COMPUT INTEL NEUROSC,HINDAWI PUBLISHING CORPORATION,D  JS Q  XC ES,1687-5265,1687-5273,UNITED STATES,English,,,,Mathematical & Computational Biology
11532J,COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,MIT PRESS,K  D  J  SS H  JS JZ Q  T  Y  CC ES,0891-2017,1530-9312,UNITED STATES,English,,1,1,"Computer Science, Artificial Intelligence"
11532J,COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,MIT PRESS,K  D  J  SS H  JS JZ Q  T  Y  CC ES,0891-2017,1530-9312,UNITED STATES,English,,,,"Computer Science, Interdisciplinary Applications"
11532J,COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,MIT PRESS,K  D  J  SS H  JS JZ Q  T  Y  CC ES,0891-2017,1530-9312,UNITED STATES,English,,,,Language & Linguistics
11532J,COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,MIT PRESS,K  D  J  SS H  JS JZ Q  T  Y  CC ES,0891-2017,1530-9312,UNITED STATES,English,,,,Linguistics
10279J,COMPUTATIONAL MATERIALS SCIENCE,COMP MATER SCI,ELSEVIER SCIENCE BV,K  D  JS Q  XC S  CC ES,0927-0256,1879-0801,NETHERLANDS,English,,0,0,"Materials Science, Multidisciplinary"
09858J,COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,COMP MATH MATH PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,D  JS Q  XC WS ES,0965-5425,1555-6662,RUSSIA,English,,,,"Mathematics, Applied"
09858J,COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,COMP MATH MATH PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,D  JS Q  XC WS ES,0965-5425,1555-6662,RUSSIA,English,,,,"Physics, Mathematical"
10813J,COMPUTATIONAL MECHANICS,COMPUT MECH,SPRINGER,K  D  JS Q  XC T  CC ES,0178-7675,1432-0924,GERMANY,English,,,,"Mathematics, Interdisciplinary Applications"
10813J,COMPUTATIONAL MECHANICS,COMPUT MECH,SPRINGER,K  D  JS Q  XC T  CC ES,0178-7675,1432-0924,GERMANY,English,,,,Mechanics
D1410J,Computational Methods and Function Theory,COMPUT METH FUNCT TH,SPRINGER HEIDELBERG,D  JS Q  XC S  CC ES,1617-9447,2195-3724,GERMANY,English,,,,"Mathematics, Applied"
D1410J,Computational Methods and Function Theory,COMPUT METH FUNCT TH,SPRINGER HEIDELBERG,D  JS Q  XC S  CC ES,1617-9447,2195-3724,GERMANY,English,,,,Mathematics
D3687J,Computational Methods in Applied Mathematics,COMPUT METH APPL MAT,WALTER DE GRUYTER GMBH,D  JS Q  XC S  CC ES,1609-4840,1609-9389,GERMANY,English,,,,"Mathematics, Applied"
12096J,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,SPRINGER,K  D  JS Q  XC T  CC ES,0926-6003,1573-2894,UNITED STATES,English,,,,"Mathematics, Applied"
12096J,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,SPRINGER,K  D  JS Q  XC T  CC ES,0926-6003,1573-2894,UNITED STATES,English,,,,Operations Research & Management Science
11099J,COMPUTATIONAL STATISTICS,COMPUTATION STAT,SPRINGER HEIDELBERG,D  JS Q  XC ES,0943-4062,1613-9658,GERMANY,English,,,,Statistics & Probability
05618J,COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,ELSEVIER SCIENCE BV,D  JS Q  XC ES,0167-9473,1872-7352,NETHERLANDS,English,,,,Statistics & Probability
05618J,COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,ELSEVIER SCIENCE BV,D  JS Q  XC ES,0167-9473,1872-7352,NETHERLANDS,English,,,,"Computer Science, Interdisciplinary Applications"
30297J,COMPUTER,COMPUTER,IEEE COMPUTER SOC,K  D  JS Q  T  CC ES,0018-9162,1558-0814,UNITED STATES,English,,,,"Computer Science, Hardware & Architecture"
30297J,COMPUTER,COMPUTER,IEEE COMPUTER SOC,K  D  JS Q  T  CC ES,0018-9162,1558-0814,UNITED STATES,English,,,,"Computer Science, Software Engineering"
10527J,COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,ELSEVIER SCIENCE BV,K  D  JS Q  T  CC ES,0167-8396,1879-2332,NETHERLANDS,English,,,,"Computer Science, Software Engineering"
10527J,COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,ELSEVIER SCIENCE BV,K  D  JS Q  T  CC ES,0167-8396,1879-2332,NETHERLANDS,English,,,,"Mathematics, Applied"
C7918J,Computer Aided Surgery,COMPUT AIDED SURG,TAYLOR & FRANCIS LTD,D  JS Q  XC C  CC ES SP,1092-9088,1097-0150,ENGLAND,English,,,,Surgery
C1031J,COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,WILEY-BLACKWELL,K  D  JS Q  XC T  CC ES,1546-4261,1546-427X,ENGLAND,English,,,,"Computer Science, Software Engineering"
12000J,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,WILEY-BLACKWELL,D  JS Q  XC ES,1061-3773,1099-0542,UNITED STATES,English,,,,"Computer Science, Interdisciplinary Applications"
12000J,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,WILEY-BLACKWELL,D  JS Q  XC ES,1061-3773,1099-0542,UNITED STATES,English,,,,"Education, Scientific Disciplines"
12000J,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,WILEY-BLACKWELL,D  JS Q  XC ES,1061-3773,1099-0542,UNITED STATES,English,,,,"Engineering, Multidisciplinary"
C9507J,Computer Assisted Language Learning,COMPUT ASSIST LANG L,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS H  JZ Q  XC ES SP,0958-8221,1744-3210,ENGLAND,English,0,1,1,Language & Linguistics
C9507J,Computer Assisted Language Learning,COMPUT ASSIST LANG L,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS H  JZ Q  XC ES SP,0958-8221,1744-3210,ENGLAND,English,,,,Linguistics
C9507J,Computer Assisted Language Learning,COMPUT ASSIST LANG L,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS H  JZ Q  XC ES SP,0958-8221,1744-3210,ENGLAND,English,,,,Education & Educational Research
01098J,COMPUTER COMMUNICATIONS,COMPUT COMMUN,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0140-3664,1873-703X,NETHERLANDS,English,1,0,0,Telecommunications
01098J,COMPUTER COMMUNICATIONS,COMPUT COMMUN,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0140-3664,1873-703X,NETHERLANDS,English,,,,"Engineering, Electrical & Electronic"
01098J,COMPUTER COMMUNICATIONS,COMPUT COMMUN,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0140-3664,1873-703X,NETHERLANDS,English,,,,"Computer Science, Information Systems"
10748J,COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,WILEY-BLACKWELL,D  JS Q  XC T  CC ES,0167-7055,1467-8659,ENGLAND,English,,,,"Computer Science, Software Engineering"
30228J,COMPUTER JOURNAL,COMPUT J,OXFORD UNIV PRESS,D  JS Q  XC T  CC ES,0010-4620,1460-2067,ENGLAND,English,,,,"Computer Science, Hardware & Architecture"
30228J,COMPUTER JOURNAL,COMPUT J,OXFORD UNIV PRESS,D  JS Q  XC T  CC ES,0010-4620,1460-2067,ENGLAND,English,,,,"Computer Science, Information Systems"
30228J,COMPUTER JOURNAL,COMPUT J,OXFORD UNIV PRESS,D  JS Q  XC T  CC ES,0010-4620,1460-2067,ENGLAND,English,,,,"Computer Science, Software Engineering"
30228J,COMPUTER JOURNAL,COMPUT J,OXFORD UNIV PRESS,D  JS Q  XC T  CC ES,0010-4620,1460-2067,ENGLAND,English,,,,"Computer Science, Theory & Methods"
13979J,COMPUTER LANGUAGES SYSTEMS & STRUCTURES,COMPUT LANG SYST STR,PERGAMON-ELSEVIER SCIENCE LTD,D  JS Q  XC T  CC ES,1477-8424,1873-6866,ENGLAND,English,,,,"Computer Science, Software Engineering"
D2406J,Computer Law & Security Review,COMPUT LAW SECUR REV,ELSEVIER ADVANCED TECHNOLOGY,SS JZ Q  XC B  CC ES,0267-3649,,ENGLAND,English,0,1,,Law
06232J,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,ELSEVIER IRELAND LTD,K  D  JS Q  P  B2 BA BP CC ES,0169-2607,1872-7565,NETHERLANDS,English,1,0,,Medical Informatics
06232J,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,ELSEVIER IRELAND LTD,K  D  JS Q  P  B2 BA BP CC ES,0169-2607,1872-7565,NETHERLANDS,English,,,,"Engineering, Biomedical"
06232J,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,ELSEVIER IRELAND LTD,K  D  JS Q  P  B2 BA BP CC ES,0169-2607,1872-7565,NETHERLANDS,English,,,,"Computer Science, Interdisciplinary Applications"
06232J,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,ELSEVIER IRELAND LTD,K  D  JS Q  P  B2 BA BP CC ES,0169-2607,1872-7565,NETHERLANDS,English,,,,"Computer Science, Theory & Methods"
30234J,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,ELSEVIER SCIENCE SA,K  D  JS Q  T  CC ES,0045-7825,1879-2138,NETHERLANDS,Multi-Language,,,,Mechanics
30234J,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,ELSEVIER SCIENCE SA,K  D  JS Q  T  CC ES,0045-7825,1879-2138,NETHERLANDS,Multi-Language,,,,"Engineering, Multidisciplinary"
30234J,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,ELSEVIER SCIENCE SA,K  D  JS Q  T  CC ES,0045-7825,1879-2138,NETHERLANDS,Multi-Language,,,,"Mathematics, Interdisciplinary Applications"
C1319J,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,TAYLOR & FRANCIS LTD,D  JS Q  XC B1 BA BP ES SP,1025-5842,1476-8259,ENGLAND,English,,,,"Engineering, Biomedical"
C1319J,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,TAYLOR & FRANCIS LTD,D  JS Q  XC B1 BA BP ES SP,1025-5842,1476-8259,ENGLAND,English,,,,"Computer Science, Interdisciplinary Applications"
01939J,COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,MIT PRESS,K  D  H  JS Q  Y  CC ES,0148-9267,1531-5169,UNITED STATES,English,,,1,Music
01939J,COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,MIT PRESS,K  D  H  JS Q  Y  CC ES,0148-9267,1531-5169,UNITED STATES,English,,,,"Computer Science, Interdisciplinary Applications"
12854J,Computer Networks,COMPUT NETW,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,1389-1286,1872-7069,NETHERLANDS,English,,,0,"Computer Science, Information Systems"
12854J,Computer Networks,COMPUT NETW,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,1389-1286,1872-7069,NETHERLANDS,English,,,,"Engineering, Electrical & Electronic"
12854J,Computer Networks,COMPUT NETW,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,1389-1286,1872-7069,NETHERLANDS,English,,,,Telecommunications
12854J,Computer Networks,COMPUT NETW,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,1389-1286,1872-7069,NETHERLANDS,English,,,,"Computer Science, Hardware & Architecture"
30246J,COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,ELSEVIER SCIENCE BV,K  D  JS Q  S  CC ES,0010-4655,1879-2944,NETHERLANDS,English,,,,"Computer Science, Interdisciplinary Applications"
30246J,COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,ELSEVIER SCIENCE BV,K  D  JS Q  S  CC ES,0010-4655,1879-2944,NETHERLANDS,English,,,,"Physics, Mathematical"
C8693J,Computer Science and Information Systems,COMPUT SCI INF SYST,COMSIS CONSORTIUM,D  JS Q  XC WS ES,1820-0214,1820-0214,SERBIA,English,,,,"Computer Science, Software Engineering"
C8693J,Computer Science and Information Systems,COMPUT SCI INF SYST,COMSIS CONSORTIUM,D  JS Q  XC WS ES,1820-0214,1820-0214,SERBIA,English,,,,"Computer Science, Information Systems"
10893J,COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,D  JS Q  XC ES,0885-2308,1095-8363,ENGLAND,English,,,,"Computer Science, Artificial Intelligence"
06862J,COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0920-5489,1872-7018,NETHERLANDS,English,,,,"Computer Science, Software Engineering"
06862J,COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0920-5489,1872-7018,NETHERLANDS,English,,,,"Computer Science, Hardware & Architecture"
D0018J,Computer Supported Cooperative Work-The Journal of Collaborative Computing,COMPUT SUPP COOP W J,SPRINGER,D  JS Q  XC ES,0925-9724,1573-7551,NETHERLANDS,English,,,,"Computer Science, Interdisciplinary Applications"
07633J,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,C R L PUBLISHING LTD,D  JS Q  XC T  CC ES,0267-6192,,ENGLAND,English,,,,"Computer Science, Theory & Methods"
07633J,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,C R L PUBLISHING LTD,D  JS Q  XC T  CC ES,0267-6192,,ENGLAND,English,,,,"Computer Science, Hardware & Architecture"
11209J,COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,ACADEMIC PRESS INC ELSEVIER SCIENCE,K  D  JS Q  T  CC ES,1077-3142,1090-235X,UNITED STATES,English,,,,"Engineering, Electrical & Electronic"
11209J,COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,ACADEMIC PRESS INC ELSEVIER SCIENCE,K  D  JS Q  T  CC ES,1077-3142,1090-235X,UNITED STATES,English,,,,"Computer Science, Artificial Intelligence"
13458J,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,WILEY-BLACKWELL,D  JS Q  XC T  CC ES,1093-9687,1467-8667,UNITED STATES,English,,,,"Engineering, Civil"
13458J,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,WILEY-BLACKWELL,D  JS Q  XC T  CC ES,1093-9687,1467-8667,UNITED STATES,English,,,,Construction & Building Technology
13458J,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,WILEY-BLACKWELL,D  JS Q  XC T  CC ES,1093-9687,1467-8667,UNITED STATES,English,,,,"Computer Science, Interdisciplinary Applications"
13458J,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,WILEY-BLACKWELL,D  JS Q  XC T  CC ES,1093-9687,1467-8667,UNITED STATES,English,,,,Transportation Science & Technology
30019J,COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,ELSEVIER SCI LTD,K  D  JS Q  T  EC CC ES,0010-4485,1879-2685,ENGLAND,English,,,,"Computer Science, Software Engineering"
07341J,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,PERGAMON-ELSEVIER SCIENCE LTD,D  JS Q  XC C  B1 BA BP CC ES,0895-6111,1879-0771,UNITED STATES,English,,,,"Radiology, Nuclear Medicine & Medical Imaging"
07341J,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,PERGAMON-ELSEVIER SCIENCE LTD,D  JS Q  XC C  B1 BA BP CC ES,0895-6111,1879-0771,UNITED STATES,English,,,,"Engineering, Biomedical"
30120J,COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  T  CC ES,0098-1354,1873-4375,UNITED STATES,Multi-Language,,,,"Computer Science, Interdisciplinary Applications"
30120J,COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  T  CC ES,0098-1354,1873-4375,UNITED STATES,Multi-Language,,,,"Engineering, Chemical"
01397J,COMPUTERS & EDUCATION,COMPUT EDUC,PERGAMON-ELSEVIER SCIENCE LTD,D  J  SS JS JZ Q  XC B  CC ES,0360-1315,1873-782X,ENGLAND,English,,1,,Education & Educational Research
01397J,COMPUTERS & EDUCATION,COMPUT EDUC,PERGAMON-ELSEVIER SCIENCE LTD,D  J  SS JS JZ Q  XC B  CC ES,0360-1315,1873-782X,ENGLAND,English,,,,"Computer Science, Interdisciplinary Applications"
30142J,COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,PERGAMON-ELSEVIER SCIENCE LTD,D  JS Q  XC T  EC CC ES,0045-7906,1879-0755,ENGLAND,English,,0,,"Computer Science, Interdisciplinary Applications"
30142J,COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,PERGAMON-ELSEVIER SCIENCE LTD,D  JS Q  XC T  EC CC ES,0045-7906,1879-0755,ENGLAND,English,,,,"Computer Science, Hardware & Architecture"
30142J,COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,PERGAMON-ELSEVIER SCIENCE LTD,D  JS Q  XC T  EC CC ES,0045-7906,1879-0755,ENGLAND,English,,,,"Engineering, Electrical & Electronic"
30149J,COMPUTERS & FLUIDS,COMPUT FLUIDS,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  T  CC ES,0045-7930,1879-0747,ENGLAND,Multi-Language,,,,"Computer Science, Interdisciplinary Applications"
30149J,COMPUTERS & FLUIDS,COMPUT FLUIDS,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  T  CC ES,0045-7930,1879-0747,ENGLAND,Multi-Language,,,,Mechanics
